IdSale,SaleNumber,IdCompany,CreateDate,TotalSale,IdWarehouse,IdBranchCompany,IdDocument,IdSaleDetails,IdProduct,Quantity,UnitPrice,NameProduct
6142835,191,314,2023-04-14,124200,500,462,8,10749042,365755,1,28000,ESQUELETO MODA
6142907,192,314,2023-04-14,37800,500,462,8,10749140,368569,1,42000,BLUSA CRUZADA FAJON
6144362,193,314,2023-04-14,42000,500,462,8,10751587,368569,1,42000,BLUSA CRUZADA FAJON
6144418,194,314,2023-04-14,58000,500,462,8,10751679,368759,1,62000,CAMISETA OVERSIZE BURDA COLORES
6147812,195,314,2023-04-15,28000,500,462,8,10757487,365755,1,28000,ESQUELETO MODA
6149201,196,314,2023-04-15,50000,500,462,8,10759694,365185,1,70000,FALDA CARGO LARGA
6149744,197,314,2023-04-15,16000,500,462,8,10760642,365755,1,28000,ESQUELETO MODA
6149744,197,314,2023-04-15,16000,500,462,8,10760643,365757,1,56000,BLUSA CAMISERA DAMA LARGA ESTAMPADA
6149978,198,314,2023-04-15,8000,500,462,8,10760997,365757,1,56000,BLUSA CAMISERA DAMA LARGA ESTAMPADA
6151621,199,314,2023-04-15,205550,500,462,8,10763947,365203,2,6000,PINES RESINA
6151621,199,314,2023-04-15,205550,500,462,8,10763948,365209,2,4000,BOTONES
6151621,199,314,2023-04-15,205550,500,462,8,10763949,365196,1,15000,PINES METALICOS
6151621,199,314,2023-04-15,205550,500,462,8,10763950,365207,1,85000,CHAQUETA DAMA JEAN
6151621,199,314,2023-04-15,205550,500,462,8,10763951,366463,1,70000,VESTIDO CRUZADO CORTO
6151621,199,314,2023-04-15,205550,500,462,8,10763952,365755,1,28000,ESQUELETO MODA
6154066,200,314,2023-04-16,70000,500,462,8,10768192,367051,1,75000,CHAQUETA BOMPER MUJER
6156489,201,314,2023-04-16,48000,500,462,8,10772142,368770,1,48000,BOLSO TBM 48
6157013,202,314,2023-04-16,52000,500,462,8,10773063,365201,1,52000,BLUSA CAMISERA DAMA LARGA UNITONO
6157024,203,314,2023-04-16,68000,500,462,8,10773086,368760,1,68000,CAMISETA OVERSIZE BURDA ARENA
6157577,204,314,2023-04-16,105000,500,462,8,10774052,365756,1,25000,CANGURO DEPORTIVO
6157577,204,314,2023-04-16,105000,500,462,8,10774053,369290,1,80000,PANTALON CARGO MUJER
6157583,205,314,2023-04-16,15000,500,462,8,10774065,365552,1,15000,ABONOS
6161337,206,314,2023-04-17,50000,500,462,8,10780298,368760,1,68000,CAMISETA OVERSIZE BURDA TB
6163029,207,314,2023-04-18,62000,500,462,8,10783154,368570,1,66000,ENTERIZO CONJUNTO / ELASTICO
6163058,208,314,2023-04-18,36000,500,462,8,10783204,365202,1,38000,CAMISETA ESTAMPADA
6163335,209,314,2023-04-18,48000,500,462,8,10783663,366480,1,48000,CANGURO / PECHERA  H 48
6163380,210,314,2023-04-18,48000,500,462,8,10783728,366480,1,48000,CANGURO / PECHERA  H 48
6165550,211,314,2023-04-18,27000,500,462,8,10787281,365755,1,28000,ESQUELETO MODA
6166239,212,314,2023-04-18,38000,500,462,8,10788557,369290,1,80000,PANTALON CARGO MUJER
6166239,212,314,2023-04-18,38000,500,462,8,10788558,365755,1,28000,ESQUELETO MODA
6169234,214,314,2023-04-19,46800,500,462,8,10793527,365759,1,52000,PANTALON DAMA AJUSTADO
6171528,215,314,2023-04-19,45000,500,462,8,10797534,365199,1,48000,CAMISAS HOMBRE ESTAMPADAS
6171816,216,314,2023-04-19,50000,500,462,8,10798049,365552,1,50000,ABONOS
6172131,217,314,2023-04-19,50000,500,462,8,10798656,365552,1,50000,ABONOS
6172169,218,314,2023-04-19,55800,500,462,8,10798718,368759,1,62000,CAMISETA OVERSIZE TA BURDA COLORES
6174700,219,314,2023-04-20,68000,500,462,8,10802852,368760,1,68000,CAMISETA OVERSIZE BURDA TB
6175278,222,314,2023-04-20,70000,500,462,8,10803838,367051,1,75000,CHAQUETA BOMPER MUJER
6175854,223,314,2023-04-20,23000,500,462,8,10804878,367036,1,38000,SOMBRERO
6175933,224,314,2023-04-20,48000,500,462,8,10805010,366480,1,48000,CANGURO / PECHERA  H 48
6176343,225,314,2023-04-20,40000,500,462,8,10805798,368769,1,40000,BOLSO TAM 40
6177084,226,314,2023-04-20,70000,500,462,8,10807279,368773,1,80000,BOLSO TDM 80
6178170,227,314,2023-04-21,90000,500,462,8,10809239,366467,1,95000,VESTIDO LARGO
6178187,228,314,2023-04-21,10000,500,462,8,10809264,365552,1,10000,ABONOS
6179987,229,314,2023-04-21,30000,500,462,8,10812266,365207,1,85000,CHAQUETA DAMA JEAN
6181740,230,314,2023-04-21,35000,500,462,8,10815361,368533,1,35000,CAMISETAS MUJER VARIAS
6181761,231,314,2023-04-21,6000,500,462,8,10815403,365203,1,6000,PINES RESINA
6184451,232,314,2023-04-22,42000,500,462,8,10820332,368764,1,42000,POLO HOMBRE
6184753,233,314,2023-04-22,38000,500,462,8,10820888,367036,1,38000,SOMBRERO
6186010,234,314,2023-04-22,75000,500,462,8,10823038,369290,1,80000,PANTALON CARGO MUJER
