date,IdProduct,IdWarehouse,Actual_Quantity,Predicted_Quantity,Error
2025-02-01,192840,258,1.0,1.92,-0.9199999999999999
2025-02-01,192990,258,5.0,8.47,-3.4700000000000006
2025-02-01,193214,258,1.0,2.16,-1.1600000000000001
2025-02-01,199856,258,1.0,2.21,-1.21
2025-02-01,239619,258,1.0,1.37,-0.3700000000000001
2025-02-01,244402,258,1.0,1.65,-0.6499999999999999
2025-02-01,244446,258,3.0,2.78,0.2200000000000002
2025-02-01,244478,258,1.0,1.18,-0.17999999999999994
2025-02-01,247472,258,1.0,1.12,-0.1200000000000001
2025-02-01,247661,258,1.0,1.82,-0.8200000000000001
2025-02-01,249780,258,1.0,2.35,-1.35
2025-02-01,251064,258,1.0,1.31,-0.31000000000000005
2025-02-01,251073,258,15.0,6.4,8.6
2025-02-01,243178,258,1.0,1.13,-0.1299999999999999
2025-02-01,257017,258,1.0,1.34,-0.3400000000000001
2025-02-01,268313,258,1.0,1.3,-0.30000000000000004
2025-02-01,270591,258,7.0,11.31,-4.3100000000000005
2025-02-01,291211,258,1.0,2.07,-1.0699999999999998
2025-02-01,298297,258,2.0,1.42,0.5800000000000001
2025-02-01,298298,258,1.0,1.32,-0.32000000000000006
2025-02-01,304066,258,24.0,16.23,7.77
2025-02-01,304075,258,3.0,1.74,1.26
2025-02-01,190073,258,1.0,1.56,-0.56
2025-02-01,268312,258,1.0,1.24,-0.24
2025-02-01,239621,258,2.0,1.26,0.74
2025-02-01,239617,258,1.0,1.24,-0.24
2025-02-01,201305,258,2.0,1.9,0.10000000000000009
2025-02-01,201726,258,1.0,2.35,-1.35
2025-02-01,202108,258,1.0,1.8,-0.8
2025-02-01,203270,258,1.0,1.08,-0.08000000000000007
2025-02-01,203273,258,1.0,1.81,-0.81
2025-02-01,203584,258,1.0,1.15,-0.1499999999999999
2025-02-01,207194,258,1.0,2.59,-1.5899999999999999
2025-02-01,209584,258,1.0,2.41,-1.4100000000000001
2025-02-01,219210,258,1.0,1.43,-0.42999999999999994
2025-02-01,219238,258,5.0,2.13,2.87
2025-02-01,219241,258,4.0,2.16,1.8399999999999999
